fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-amd64
  2016/09/23 09:36:09 Found /home/fgimenez/Desktop/snappy_validate_image/spread.yaml.
  2016/09/23 09:36:09 Allocating external-ubuntu-core:ubuntu-core-16-device-amd64...
  2016/09/23 09:36:09 Waiting for external-ubuntu-core:ubuntu-core-16-device-amd64 to make SSH available at localhost:8022...
  2016/09/23 09:36:09 Allocated external-ubuntu-core:ubuntu-core-16-device-amd64.
  2016/09/23 09:36:09 Connecting to external-ubuntu-core:ubuntu-core-16-device-amd64...
  2016/09/23 09:36:09 Connected to external-ubuntu-core:ubuntu-core-16-device-amd64 at localhost:8022.
  2016/09/23 09:36:09 Sending project data to external-ubuntu-core:ubuntu-core-16-device-amd64...
  2016/09/23 09:36:09 Preparing project on external-ubuntu-core:external-ubuntu-core:ubuntu-core-16-device-amd64...
  2016/09/23 09:37:37 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/...
  2016/09/23 09:37:44 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-control...
  2016/09/23 09:37:45 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-control...
  2016/09/23 09:37:46 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-network-control...
  2016/09/23 09:37:48 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/known...
  2016/09/23 09:37:48 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/known...
  2016/09/23 09:37:50 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-profiles...
  2016/09/23 09:37:50 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-profiles...
  2016/09/23 09:37:51 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-profiles...
  2016/09/23 09:37:53 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-log-observe...
  2016/09/23 09:37:54 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-log-observe...
  2016/09/23 09:37:55 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-log-observe...
  2016/09/23 09:37:56 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-apparmor...
  2016/09/23 09:37:57 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-apparmor...
  2016/09/23 09:37:57 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/security-apparmor...
  2016/09/23 09:37:59 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-run-symlink-error...
  2016/09/23 09:37:59 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snap-run-symlink-error...
  2016/09/23 09:38:03 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/listing...
  2016/09/23 09:38:06 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/listing...
  2016/09/23 09:38:06 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/listing...
  2016/09/23 09:38:08 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snapctl...
  2016/09/23 09:39:22 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/snapctl...
