fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-arm
  2016/09/23 10:22:06 Found /home/fgimenez/Desktop/snappy_validate_image/spread.yaml.
  2016/09/23 10:22:06 Allocating external-ubuntu-core:ubuntu-core-16-device-arm...
  2016/09/23 10:22:06 Waiting for external-ubuntu-core:ubuntu-core-16-device-arm to make SSH available at 192.168.0.114:22...
  2016/09/23 10:22:06 Allocated external-ubuntu-core:ubuntu-core-16-device-arm.
  2016/09/23 10:22:06 Connecting to external-ubuntu-core:ubuntu-core-16-device-arm...
  2016/09/23 10:22:07 Connected to external-ubuntu-core:ubuntu-core-16-device-arm at 192.168.0.114:22.
  2016/09/23 10:22:07 Sending project data to external-ubuntu-core:ubuntu-core-16-device-arm...
  2016/09/23 10:22:10 Preparing project on external-ubuntu-core:external-ubuntu-core:ubuntu-core-16-device-arm...
  2016/09/23 10:25:42 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/...
  2016/09/23 10:26:40 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/revert-production...
  2016/09/23 10:26:54 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/revert-production...
  2016/09/23 10:27:14 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/revert-production...
  2016/09/23 10:27:32 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/change-errors...
  2016/09/23 10:27:35 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/change-errors...
  2016/09/23 10:27:44 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/try-snap-goes-away:network_bind_consumer...
  2016/09/23 10:28:03 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/try-snap-goes-away:network_bind_consumer...
  2016/09/23 10:28:10 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/try-snap-goes-away:test_snapd_tools...
